,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
,EXECUTE,COLON,END,RECORDS,ENDRECORDS,REC,ID,ENDREC,PROCS,ENDPROCS,PROC,LPAREN,RPAREN,ARROW,ENDPROC,COMMA,SEMICOLON,STRING,MAT,LT,GT,LSQ,RSQ,INT,REAL,BOOL,CHAR,INT_LIT,IF,ELIF,ELSE,ENDIF,GET,PUT,ENDL,TAB,DQUOTE,STR_LIT,DOT,CALL,LOOP,ENDLOOP,BREAK,CONTINUE,NOT,BOOL_LIT,AND,OR,LE,GE,EQ,NEQ,REAL_LIT,SQUOTE,CHAR_LIT,ASSIGN,ASSIGN_OP,MINUS,PLUS,MUL,DIV,MOD,POW,MATASSIGN,LCURL,RCURL,MAT_ROWS,MAT_COLS,STRASSIGN,STR_LENGTH,$
<program>,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<execute> ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_records> ,4,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<records> ,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<recs> ,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_recs> ,,,,,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<rec> ,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_procedures> ,11,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<procedures> ,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<procs> ,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_procs> ,,,,,,,,,,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<proc> ,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<param_list> ,,,,,,,,,,,,,,,,,,,,,,,,17,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_param_list> ,,,,,,,,,,,,,19,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<stmts> ,,,,,,20,,,,,,,,,,,,20,20,,,,,20,20,20,20,,20,,,,20,20,,,,,,20,20,,,,,,,,,,,,,,,20,,,,,,,,20,,,,,20,,
<_stmts> ,,,22,,,21,22,,,,,22,,,22,,,21,21,,,,,21,21,21,21,22,21,22,22,22,21,21,,,,,,21,21,,,,22,22,,,,,,,22,22,,21,,,,,,,,21,,,,,21,,
<stmt> ,,,,,,23,,,,,,,,,,,,23,23,,,,,23,23,23,23,,24,,,,28,28,,,,,,26,25,,,,,,,,,,,,,,,27,,,,,,,,29,,,,,30,,
<decl_stmts> ,,,,,,31,,,,,,,,,,,,31,31,,,,,31,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_decl_stmts> ,,,,,,32,,33,,,,,,,,,,32,32,,,,,32,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<decl_stmt> ,,,,,,34,,,,,,,,,,,,34,34,,,,,34,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<type> ,,,,,,38,,,,,,,,,,,,36,37,,,,,35,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<basic_type> ,,,,,,,,,,,,,,,,,,,,,,,,39,40,41,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<id_list> ,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_id_list> ,,,,,,,,,,,,,,,,44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<dims> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_int_lit> ,,,,,,,,,,,,,,,,47,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<cond_stmt> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<else_if> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_cond_stmt> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<io_stmt> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<put_param> ,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,58,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<var> ,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_var> ,,,,,,,,,,,,,63,,,,63,,,63,63,61,,,,,,,,,,,,,,,,,62,,,,,,,,,,63,63,63,63,,,,,63,63,63,63,63,63,63,,,,,,,,
<proc_call_stmt> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<proc_arg_list> ,,,,,,,65,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<arg_list> ,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<arg_list1> ,,,,,,,,,,,,,71,,,68,,,,,,69,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<arg_list2> ,,,,,,,,,,,,,73,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<loop_stmt>  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<iloop_stmts> ,,,,,,75,,,,,,,,,,,,75,75,,,,,75,75,75,75,,75,,,,75,75,,,,,,75,75,76,75,75,,,,,,,,,,,,75,,,,,,,,75,,,,,75,,
<iloop_stmt> ,,,,,,77,,,,,,,,,,,,77,77,,,,,77,77,77,77,,77,,,,77,77,,,,,,77,77,,78,79,,,,,,,,,,,,77,,,,,,,,77,,,,,77,,
<assign_list> ,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
<conds> ,,,,,,,83,,,,,82,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,84,85,,,,,,,83,83,,,,,,,,,,,,,,,,,
<logical_op> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,87,,,,,,,,,,,,,,,,,,,,,,,
<rel_op> ,,,,,,,,,,,,,,,,,,,,88,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,91,92,93,,,,,,,,,,,,,,,,,,,
<elem> ,,,,,,,94,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,96,97,,,,,,,,,,,,,,,,,
<assign_stmt> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,
<expr> ,,,,,,,99,,,,,99,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,99,,,,,,,99,99,,,,99,,,,,,,,,,,,,
<_expr> ,,,,,,,,,,,,,101,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,
<term> ,,,,,,,102,,,,,102,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,102,,,,,,,102,102,,,,102,,,,,,,,,,,,,
<_term> ,,,,,,,,,,,,,104,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,104,103,103,103,,,,,,,,,
<expo_term> ,,,,,,,105,,,,,105,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,105,,,,,,,105,105,,,,105,,,,,,,,,,,,,
<_expo_term> ,,,,,,,,,,,,,107,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,107,107,107,107,106,,,,,,,,
<factor> ,,,,,,,109,,,,,108,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,110,,,,,,,110,110,,,,111,,,,,,,,,,,,,
<op_-+> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,112,,,,,,,,,,,,
<op_*/%> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,115,116,,,,,,,,,
<op_**> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,
<mat_assign_stmt> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,
<mat_stmt> ,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,
<_mat_stmt> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,122,123,,,
<row_list> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,124,,,,,,,124,124,,,,,,,,,,,,,,,,,
<_row_list> ,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,
<row> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,127,,,,,,,127,127,,,,,,,,,,,,,,,,,
<_row> ,,,,,,,,,,,,,,,,128,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,
<const> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,132,,,,,,,131,133,,,,,,,,,,,,,,,,,
<str_assign_stmt> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,
<str_stmt> ,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<_str_stmt> ,,,,,,,,,,,,,,,,,137,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,140,
<ind> ,,,,,,,141,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
